step,train/sparsity,train/target_sparsity,train/grad_norm,train/loss,train/ntp_loss,train/onpolicy_kd_loss,train/aux_loss,train/lr,onpolicy/kl_loss,onpolicy/overlap_ratio_top100,onpolicy/entropy_gap,onpolicy/student_entropy,onpolicy/teacher_entropy,onpolicy/gen_tokens,pgd/kl_at_full_pgd,pgd/kl_at_k_actual,pgd/kl_budget,pgd/k_actual,pgd/post_sparsity,pgd/prunings,pgd/revivals,pgd/turnover,pgd/net_growth,pgd/n_prune_cand,pgd/n_revive_cand
1,0,0.0013662975971344914,2.578125,0.5461880639195442,1.6551152765750885,0,0,3.90625e-07,0,1,0,1.6382315084338188,1.6382315084338188,512,,,,,,,,,,,
2,0,0.0027308161611910853,1.9609375,0.3582522701472044,1.0856129005551338,0,0,7.8125e-07,0,1,0,0.663851872086525,0.663851872086525,512,,,,,,,,,,,
3,0,0.0040935568511486055,2.15625,0.4085337705910206,1.2376543432474136,0.000346312152032624,0.0003267390566179529,1.1718750000000001e-06,0.000346312152032624,0.9898901283740997,-0.00011268630623817444,0.5503779761493206,0.5504906624555588,512,,,,,,,,,,,
4,0,0.005454520825986419,1.9609375,0.3309682495892048,1.0026423260569572,0.000380765584850451,0.000291717686195625,1.5625e-06,0.000380765584850451,0.9875170662999153,0.00037135183811187744,0.8059861660003662,0.8056148141622543,512,,,,,,,,,,,
5,0,0.006813709244684052,2.09375,0.3476284481585026,1.0530994907021523,0.0003553264141373802,0.00031999266502680257,1.953125e-06,0.0003553264141373802,0.9899584800004959,0.0048070065677165985,1.2876424007117748,1.2828353941440582,512,,,,,,,,,,,
6,0,0.008171123266220092,1.8671875,0.30664885975420475,0.9289154633879662,0.00037816039912286215,0.0003234696305298712,2.3437500000000002e-06,0.00037816039912286215,0.9894945919513702,0.007850682362914085,0.9669480044394732,0.9590973220765591,512,,,,,,,,,,,
7,0,0.009526764049574065,2.078125,0.41936563327908516,1.270379476249218,0.000415047281421721,0.00042543361269054003,2.734375e-06,0.000415047281421721,0.9886743053793907,0.02223682776093483,1.6923436634242535,1.6701068356633186,512,,,,,,,,,,,
8,0.7000039589181435,0.010880632753725493,1.9375,0.4954350274056196,1.5007732808589935,0.0007658059839741327,0.0005449445707199629,3.125e-06,0.0007658059839741327,0.9859863072633743,0.05405735597014427,1.958239834755659,1.9041824787855148,512,5.809269428253174,5.809269428253174,0.02,2543335472.0,0.7000039589181435,2543335472.0,0,2543335472.0,2543335472.0,2543335472.0,0
9,0.7000039589181435,0.012232730537652968,225,4.545816898345947,8.775167524814606,5.272219717502594,5.000034868717194,3.5156250000000003e-06,5.272219717502594,0.23076659627258778,6.089898455888033,7.080945909023285,0.991047453135252,512,,,,,,,,,,,
10,0.7000039589181435,0.013583058560336014,178,4.657881021499634,8.958723425865173,5.45309317111969,5.156067073345184,3.90625e-06,5.45309317111969,0.22457030601799488,6.251070700585842,6.921420931816101,0.6703502312302589,512,,,,,,,,,,,
11,0.7000039589181435,0.014931617980753997,178,4.488858878612518,9.075945734977722,4.632230758666992,4.526656299829483,4.296875e-06,4.632230758666992,0.26443358324468136,5.017248190939426,6.200107157230377,1.1828589662909508,512,,,,,,,,,,,
12,0.7000039589181435,0.01627840995788574,115.5,4.3607184290885925,8.717191815376282,5.115089774131775,4.4971060156822205,4.6875000000000004e-06,5.115089774131775,0.2338232360780239,6.327293299138546,7.393363118171692,1.066069819033146,512,,,,,,,,,,,
13,0.7000039589181435,0.017623435650710617,121,4.357859522104263,8.38676917552948,5.10290864109993,4.818865120410919,5.078125000000001e-06,5.10290864109993,0.22883299551904202,5.813598267734051,7.160346269607544,1.3467480018734932,512,,,,,,,,,,,
14,0.7000039589181435,0.018966696218208144,86,4.2080190777778625,8.036519825458527,5.122908025979996,4.715052783489227,5.46875e-06,5.122908025979996,0.23374022543430328,6.800224483013153,8.318888008594513,1.5186635255813599,512,,,,,,,,,,,
15,0.7000039589181435,0.02030819281935692,84,4.1615289747715,7.79093199968338,4.933211028575897,4.819761693477631,5.859375e-06,4.933211028575897,0.259328605607152,7.307405479252338,8.523293912410736,1.2158884331583977,512,,,,,,,,,,,
16,0.7000039589181435,0.021647926613136536,97,4.213671237230301,7.81938362121582,5.015421003103256,4.9493162631988525,6.25e-06,5.015421003103256,0.25898436829447746,7.278598703444004,8.700579643249512,1.4219809398055077,512,0.0006999976467341185,0.0006999976467341185,0.02,13,0.7000039589181435,13,13,26,0,13,14372
17,0.7000039589181435,0.022985898758526288,94.5,4.1579174399375916,7.3652501702308655,5.283563613891602,5.234499275684357,6.6406250000000005e-06,5.283563613891602,0.2347558531910181,7.782433249056339,9.04275119304657,1.2603179439902306,512,,,,,,,,,,,
18,0.7000039589181435,0.024322110414505004,153,3.9705416560173035,7.605152606964111,5.472132205963135,4.4267913699150085,7.031250000000001e-06,5.472132205963135,0.22977538593113422,8.27994641289115,9.00376284122467,0.7238164283335209,512,,,,,,,,,,,
19,0.7000039589181435,0.025656562740052125,109,4.009084910154343,7.29399299621582,5.546694815158844,4.854748964309692,7.421875e-06,5.546694815158844,0.24575195275247097,8.754736091941595,9.35759425163269,0.6028581596910954,512,,,,,,,,,,,
