step,train/sparsity,train/target_sparsity,train/grad_norm,train/loss,train/ntp_loss,train/onpolicy_kd_loss,train/aux_loss,train/lr,onpolicy/kl_loss,onpolicy/overlap_ratio_top100,onpolicy/entropy_gap,onpolicy/student_entropy,onpolicy/teacher_entropy,onpolicy/gen_tokens,pgd/kl_at_full_pgd,pgd/kl_at_k_actual,pgd/kl_budget,pgd/k_actual,pgd/post_sparsity,pgd/prunings,pgd/revivals,pgd/turnover,pgd/net_growth,pgd/n_prune_cand,pgd/n_revive_cand
1,0,0.0013662975971344914,2.578125,0.5461880639195442,1.6551152765750885,0,0,3.90625e-07,0,1,0,1.6382315084338188,1.6382315084338188,512,,,,,,,,,,,
2,0,0.0027308161611910853,1.9609375,0.3582522701472044,1.0856129005551338,0,0,7.8125e-07,0,1,0,0.663851872086525,0.663851872086525,512,,,,,,,,,,,
3,0,0.0040935568511486055,2.171875,0.4083922430872917,1.2372352257370949,0.00033762484417820815,0.00031698954990133643,1.1718750000000001e-06,0.00033762484417820815,0.9900878891348839,0.0006336010992527008,0.5511242635548115,0.5504906624555588,512,,,,,,,,,,,
4,0,0.005454520825986419,1.9609375,0.33093232475221157,1.0025313049554825,0.00037439853986143135,0.00029387043468886986,1.5625e-06,0.00037439853986143135,0.9878124743700027,0.0008483082056045532,0.8064631223678589,0.8056148141622543,512,,,,,,,,,,,
5,0,0.006813709244684052,2.078125,0.3476004935801029,1.0530124083161354,0.00037161644286243245,0.0003223654530302156,1.953125e-06,0.00037161644286243245,0.9897704869508743,0.004684995859861374,1.2875203900039196,1.2828353941440582,512,,,,,,,,,,,
6,0,0.008171123266220092,1.9296875,0.30670157074928284,0.9290721341967583,0.00043705563075491227,0.0003265385748818517,2.3437500000000002e-06,0.00043705563075491227,0.9895385578274727,0.00588507205247879,0.9649823941290379,0.9590973220765591,512,,,,,,,,,,,
7,0,0.009526764049574065,2.234375,0.41948262974619865,1.270687609910965,0.00046061569446465,0.00047177596206893213,2.734375e-06,0.00046061569446465,0.9889233261346817,0.024216897785663605,1.6943237334489822,1.6701068356633186,512,,,,,,,,,,,
8,1.8715686440295815e-08,0.010880632753725493,1.953125,0.49543791450560093,1.500780612230301,0.0008130398673529271,0.0005463319939735811,3.125e-06,0.0008130398673529271,0.9860058352351189,0.05082789808511734,1.9550103768706322,1.9041824787855148,512,3.7523295879364014,0,0.02,63,1.8715686440295815e-08,68,0,68,68,2543358532.0,0
9,1.8715686440295815e-08,0.012232730537652968,1.6953125,0.4112080857157707,1.2451696321368217,0.000562390803679591,0.0009154144863714464,3.5156250000000003e-06,0.000562390803679591,0.9875805601477623,0.030692465603351593,1.0217399187386036,0.991047453135252,512,,,,,,,,,,,
10,1.8715686440295815e-08,0.013583058560336014,1.625,0.3667588550597429,1.1097602769732475,0.0006943349617358763,0.0016301531723001972,3.90625e-06,0.0006943349617358763,0.9865282773971558,0.029459290206432343,0.6998095214366913,0.6703502312302589,512,,,,,,,,,,,
11,1.8715686440295815e-08,0.014931617980753997,1.7578125,0.4842386730015278,1.4652193635702133,0.0011241683532716706,0.002170465813833289,4.296875e-06,0.0011241683532716706,0.9830663800239563,0.06512598693370819,1.247984953224659,1.1828589662909508,512,,,,,,,,,,,
12,1.8715686440295815e-08,0.01627840995788574,1.703125,0.5420884191989899,1.639924205839634,0.001541968020319473,0.002767936632153578,4.6875000000000004e-06,0.001541968020319473,0.983815886080265,0.07897308096289635,1.1450428999960423,1.066069819033146,512,,,,,,,,,,,
13,1.8715686440295815e-08,0.017623435650710617,1.171875,0.4503943808376789,1.3605683520436287,0.0026447490527061746,0.004263020935468376,5.078125000000001e-06,0.0026447490527061746,0.9750659018754959,0.10001743584871292,1.4467654377222061,1.3467480018734932,512,,,,,,,,,,,
14,1.8715686440295815e-08,0.018966696218208144,1.125,0.47983764857053757,1.446879804134369,0.004115623887628317,0.007173642865382135,5.46875e-06,0.004115623887628317,0.9774462506175041,0.16285574808716774,1.6815192736685276,1.5186635255813599,512,,,,,,,,,,,
15,1.8715686440295815e-08,0.02030819281935692,1.03125,0.45372840017080307,1.3649081215262413,0.00305730001127813,0.010026347590610385,5.859375e-06,0.00305730001127813,0.9732568114995956,0.10173575580120087,1.3176241889595985,1.2158884331583977,512,,,,,,,,,,,
16,1.1111062670510913e-06,0.021647926613136536,9.625,0.4140450023114681,1.2412487789988518,0.007122153649106622,0.013433005311526358,6.25e-06,0.007122153649106622,0.9664892330765724,0.16294042766094208,1.5849213674664497,1.4219809398055077,512,2.6678926944732666,0,0.02,3969,1.1111062670510913e-06,3969,0,3969,3969,2543354312.0,0
17,1.1111062670510913e-06,0.022985898758526288,1.1875,0.33942269533872604,1.014455795288086,0.006997354605118744,0.014097765437327325,6.6406250000000005e-06,0.006997354605118744,0.9676244929432869,0.19745225459337234,1.457770198583603,1.2603179439902306,512,,,,,,,,,,,
18,1.1111062670510913e-06,0.024322110414505004,1.125,0.5373688191175461,1.6102486625313759,0.004017564584501088,0.018141631386242807,7.031250000000001e-06,0.004017564584501088,0.9652929380536079,0.05501466430723667,0.7788310926407576,0.7238164283335209,512,,,,,,,,,,,
