step,train/sparsity,train/target_sparsity,train/grad_norm,train/loss,train/ntp_loss,train/onpolicy_kd_loss,train/aux_loss,train/lr,onpolicy/kl_loss,onpolicy/overlap_ratio_top100,onpolicy/entropy_gap,onpolicy/student_entropy,onpolicy/teacher_entropy,onpolicy/gen_tokens,pgd/kl_at_full_pgd,pgd/kl_at_k_actual,pgd/kl_budget,pgd/k_actual,pgd/post_sparsity,pgd/prunings,pgd/revivals,pgd/turnover,pgd/net_growth,pgd/n_prune_cand,pgd/n_revive_cand
1,0,0.0013662975971344914,1.5625,0.6175520643591881,1.8713698387145996,0,0,3.90625e-07,0,1,0,0.5767553150653839,0.5767553150653839,512,,,,,,,,,,,
2,0,0.0027308161611910853,1.5,0.49872537702322006,1.5112889558076859,0,0,7.8125e-07,0,1,0,0.4912562631070614,0.4912562631070614,512,,,,,,,,,,,
3,0,0.0040935568511486055,1.6171875,0.34452008828520775,1.0437062084674835,0.00033598834852455184,0.0002940401536761783,1.1718750000000001e-06,0.00033598834852455184,0.9906835705041885,-1.539289951324463e-05,0.5365303456783295,0.5365457385778427,512,,,,,,,,,,,
4,0,0.005454520825986419,1.53125,0.2742920517921448,0.8309013843536377,0.00037615728069795296,0.0002866394497686997,1.5625e-06,0.00037615728069795296,0.9908007681369781,0.0015696436166763306,0.7035895437002182,0.7020199000835419,512,,,,,,,,,,,
5,0,0.006813709244684052,1.4921875,0.3954852558672428,1.1981147229671478,0.00030632514972239733,0.00032546271540923044,1.953125e-06,0.00030632514972239733,0.9893847554922104,0.0027008578181266785,0.497413769364357,0.4947129115462303,512,,,,,,,,,,,
6,0,0.008171123266220092,1.390625,0.546504333615303,1.655777245759964,0.00036039200494997203,0.0002963925653602928,2.3437500000000002e-06,0.00036039200494997203,0.9898437261581421,0.005473658442497253,0.7197291254997253,0.7142554670572281,512,,,,,,,,,,,
7,0,0.009526764049574065,1.7265625,0.5153508186340332,1.5612916946411133,0.0003944004638469778,0.000377388067136053,2.734375e-06,0.0003944004638469778,0.9897753745317459,0.00987422838807106,1.243420548737049,1.233546320348978,512,,,,,,,,,,,
8,0.7000003248309168,0.010880632753725493,1.0234375,0.36675378307700157,1.1109805256128311,0.0005544901796383783,0.0003945230273529887,3.125e-06,0.0005544901796383783,0.987260714173317,0.025001227855682373,1.1778484731912613,1.152847245335579,512,5.830613613128662,5.830613613128662,0.03,4862039453.0,0.7000003248309168,4862039453.0,0,2528330400.0,2528330400.0,4862039453.0,0
9,0.7000003248309168,0.012232730537652968,83,4.083629250526428,6.684208631515503,7.095594525337219,5.690424859523773,3.5156250000000003e-06,7.095594525337219,0.24164550751447678,10.557645164430141,11.34828495979309,0.7906397953629494,512,,,,,,,,,,,
10,0.7000003248309168,0.013583058560336014,65,4.0735819935798645,7.273052453994751,7.190897107124329,5.071134507656097,3.90625e-06,7.190897107124329,0.2403564304113388,10.57741004228592,11.326590061187744,0.749180018901825,512,,,,,,,,,,,
