Qwen 3 4B dense																						wandb b2rdczje	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/b2rdczje
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	74.99	94.8	2.4	0.21	3873	53.54	3.03	0.94	6405	81.33	2.03	1.36	1415	51.49	2.61	0	14383	93.78	0.99	0.24	1779	80.35
1	75.28	94.6	3.2	0	3952	52.02	3.54	0.97	6261	83.55	1.66	0.22	1295	52.61	1.87	0	14240	93.63	1.06	0.24	1724	81.1
42	74.99	93.8	3.6	0.85	3995	53.03	4.55	1.9	6494	80.78	2.4	0.92	1365	53.73	2.99	0	13934	93.63	0.76	0.08	1757	80.48
mean	75.09	94.4	3.07	0.35	3940	52.86	3.7	1.27	6387	81.89	2.03	0.83	1358	52.61	2.49	0.0	14186	93.68	0.94	0.19	1753	80.64
std	0.17	0.53	0.61	0.44	62	0.77	0.77	0.55	118	1.47	0.37	0.58	60	1.12	0.57	0.0	229	0.09	0.16	0.09	27	0.4
																						
Qwen 3 4B s50 SparseGPT																						wandb flex5m8x	cosmos1030/sparsegpt-qwen3-4b-s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/flex5m8x
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	60.81	87.0	12.4	2.76	5739	37.37	32.32	17.57	10723	65.06	26.8	15.06	5735	24.25	64.93	0	25241	90.37	5.53	1.09	2592	66.67
1	59.94	85.4	13.8	3.75	5841	37.37	29.29	22.97	10308	63.4	29.02	18.37	6049	22.01	65.3	0	25247	91.51	5.23	1.66	2587	65.58
42	59.06	85.6	12.8	1.64	5790	35.86	26.77	11.27	10309	61.74	29.57	18.26	6062	20.9	68.66	1.79	26008	91.21	5.46	1.5	2634	64.86
mean	59.94	86.0	13.0	2.71	5790	36.87	29.46	17.27	10447	63.4	28.47	17.23	5949	22.39	66.29	0.6	25499	91.03	5.41	1.41	2604	65.7
std	0.88	0.87	0.72	1.06	51	0.87	2.78	5.86	240	1.66	1.47	1.88	185	1.71	2.06	1.03	441	0.59	0.16	0.29	26	0.91
																						
