block	wandb_id	run_name	state	seeds	checkpoint	train_run	ntp	kd	opd	rollout_interval	rollout_len	fixed_mask	pgd	kl_budget	tr	growth	mask_interval	steps	lr	seqlen
Qwen 3 4B dense	b2rdczje	s3_4b_dense	finished	0,1,42	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c															
Qwen 3 4B s50 SparseGPT	flex5m8x	s3_4b_s50_sparsegpt	finished	0,1,42	cosmos1030/sparsegpt-qwen3-4b-s50pct															
Qwen 3 4B s50 SparseGPT selfgen	pho3cqwf	s3_4b_s50_sgpt_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_4b_sgpt_s50pct_n128_selfgenv3															
Qwen 3 4B s50 SparseLLM	diarqepu	s3_4b_sparsellm_s50	finished	0,1,42	/home/doyoonkim/models/sparsellm_4b_s50															
Qwen 3 4B s50 ALPS	kdimp4bo	s3_4b_s50_alps	finished	0,1,42	cosmos1030/alps-qwen3-4b-s50pct															
Qwen 3 4B s50 ALPS selfgen	8yyyu8ow	s3_4b_s50_alps_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s50pct															
Qwen 3 4B s50 ALPS+retrain	kkpyvjam	s3_4b_s50_alpsretrain	finished	0,1,42	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260812_132642	miysnxlq	0.33	0.33	0.33	1	512	True	False	None	False	None	32	2048	None	8192
Qwen 3 4B s50 Ours	s6b09k8f	s3_4b_s50_ours	finished	0,1,42	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_060006	544kemgd	0.33	0.33	0.33	32	512	False	True	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s50 Ours w/o OPD (0.5/0.5/0)	prxftopo	s3_4b_s50_noopd	finished	0,1,42	cosmos1030/gmp-kd5e-1-s50pct-lr5e-5_20260915_130503	jwqzoixm	0.5	0.5	0	32	512	False	True	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s50 Ours w/o rollout refresh	stytmxbt	s3_4b_s50_norefresh	finished	42	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_080351	rxsmqs5p	0.33	0.33	0.33	4096	512	False	True	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s50 Ours, cubic schedule (pace-matched)	0n389gjf	s3_4b_s50_cubic_matched	finished	42	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_142204	kp4bd255	0.33	0.33	0.33	32	512	False	True	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s60 SparseGPT	rp0bi9rd	s3_4b_s60_sparsegpt	finished	0,1,42	cosmos1030/sparsegpt-qwen3-4b-s60pct															
Qwen 3 4B s60 SparseGPT selfgen	8fdustqf	s3_4b_s60_sgpt_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_4b_sgpt_s60pct_n128_selfgenv3															
Qwen 3 4B s60 SparseLLM	xtprmhgu	s3_4b_sparsellm_s60	finished	0,1,42	/home/doyoonkim/models/sparsellm_4b_s60															
Qwen 3 4B s60 ALPS	lesvnnsg	s3_4b_s60_alps	finished	0,1,42	cosmos1030/alps-qwen3-4b-s60pct															
Qwen 3 4B s60 ALPS selfgen	sqpjj6gu	s3_4b_s60_alps_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s60pct															
Qwen 3 4B s60 ALPS+retrain	vbd3dndv	s3_4b_s60_alpsretrain	finished	0,1,42	cosmos1030/gmp-kd3e-1-s60pct-lr1e-4_20260814_193400	dqocd3f8	0.33	0.33	0.33	1	512	True	False	None	False	None	32	2048	None	8192
Qwen 3 4B s60 Ours	x2pcgf19	s3_4b_s60_ours	finished	0,1,42	cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260901_075817	02vfcs1b	0.33	0.33	0.33	32	512	False	True	0.02	False	cubic	32	2048	None	8192
Qwen 3 4B s60 Ours w/o OPD (0.5/0.5/0)	s1pnmvoy	s3_4b_s60_noopd	finished	0,1,42	cosmos1030/gmp-kd5e-1-s60pct-lr5e-5_20260915_181935	de0nllme	0.5	0.5	0	32	512	False	True	0.02	False	cubic	32	2048	None	8192
