Qwen 3 1.7B dense																						wandb 6hrpz2d5	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-1.7B/snapshots/70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/6hrpz2d5
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	64.1	89.4	4.0	0.45	4365	40.91	1.52	0	6777	68.76	4.62	2.36	1793	33.58	1.87	0	16644	87.87	1.06	0.17	1609	69.9
1	62.96	89.6	5.0	1.1	4320	36.87	2.02	2.67	6974	68.21	4.62	3.4	1750	32.46	2.61	0	16401	87.64	1.06	0.26	1603	69.48
42	63.85	87.0	5.4	0.23	4305	39.9	1.01	1.25	6880	69.32	4.81	2.6	1804	35.07	1.49	0	16266	87.95	1.06	0.43	1590	69.83
mean	63.64	88.67	4.8	0.59	4330	39.23	1.52	1.31	6877	68.76	4.68	2.79	1782	33.71	1.99	0.0	16437	87.82	1.06	0.29	1601	69.74
std	0.6	1.45	0.72	0.46	31	2.1	0.51	1.33	99	0.55	0.11	0.55	29	1.31	0.57	0.0	192	0.16	0.0	0.13	10	0.23
																						
Qwen 3 1.7B s50 SparseGPT																						wandb o0k35icm	cosmos1030/sparsegpt-qwen3-1.7b-s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/o0k35icm
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	0.77	0.0	100	100	16384	0.0	99.49	100	16363	2.03	94.45	91.73	15531	0	100	-	32768	1.82	97.95	97.61	8063	0.96
1	0.68	0.0	100	100	16384	0.0	100	100	16384	2.03	96.12	92.09	15776	0	100	-	32768	1.36	98.33	98.21	8096	0.85
42	0.62	0.0	100	100	16384	0.0	98.99	100	16263	2.03	94.09	91.73	15490	0	100	-	32768	1.06	98.79	98.61	8120	0.77
mean	0.69	0.0	100.0	100.0	16384	0.0	99.49	100.0	16337	2.03	94.89	91.85	15599	0.0	100.0	-	32768	1.42	98.36	98.14	8093	0.86
std	0.08	0.0	0.0	0.0	0	0.0	0.51	0.0	64	0.0	1.08	0.21	155	0.0	0.0	-	0	0.38	0.42	0.5	29	0.1
																						
