Qwen 3 4B dense																						wandb b2rdczje	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/b2rdczje
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	74.58	94.6	2.4	0.21	3873	53.03	3.03	0.94	6405	80.22	2.03	1.36	1415	51.49	2.61	0	14383	93.56	0.99	0.24	1779	79.97
1	75.1	94.6	3.2	0	3952	51.52	3.54	0.97	6261	83.36	1.66	0.22	1295	52.61	1.87	0	14240	93.4	1.06	0.24	1724	81.0
42	74.47	93.0	3.6	0.85	3995	52.02	4.55	1.9	6494	80.04	2.4	0.92	1365	53.73	2.99	0	13934	93.56	0.76	0.08	1757	80.08
mean	74.72	94.07	3.07	0.35	3940	52.19	3.7	1.27	6387	81.21	2.03	0.83	1358	52.61	2.49	0.0	14186	93.51	0.94	0.19	1753	80.35
std	0.34	0.92	0.61	0.44	62	0.77	0.77	0.55	118	1.87	0.37	0.58	60	1.12	0.57	0.0	229	0.09	0.16	0.09	27	0.56
																						
Qwen 3 4B s50 SparseGPT																						wandb flex5m8x	cosmos1030/sparsegpt-qwen3-4b-s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/flex5m8x
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	56.86	84.6	12.4	2.76	5739	30.81	32.32	17.57	10723	55.27	26.8	15.06	5735	24.25	64.93	0	25241	89.39	5.53	1.09	2592	63.38
1	54.95	82.2	13.8	3.75	5841	28.79	29.29	22.97	10308	51.76	29.02	18.37	6049	22.01	65.3	0	25247	89.99	5.23	1.66	2587	61.49
42	55.37	84.2	12.8	1.64	5790	31.82	26.77	11.27	10309	50.46	29.57	18.26	6062	20.52	68.66	1.79	26008	89.84	5.46	1.5	2634	61.26
mean	55.73	83.67	13.0	2.71	5790	30.47	29.46	17.27	10447	52.5	28.47	17.23	5949	22.26	66.29	0.6	25499	89.74	5.41	1.41	2604	62.04
std	1.01	1.29	0.72	1.06	51	1.54	2.78	5.86	240	2.49	1.47	1.88	185	1.88	2.06	1.03	441	0.32	0.16	0.29	26	1.16
																						
