label	avg	MATH	GPQA	IFEval	LCB	GSM8K	on_hub	url	ckpt	local_size	log
4B S50 lr=5e-5	63.13	86.80	46.97	73.01	24.63	84.23	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260824_204908	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260824_193511	8.1 GB	gmp_pgd_klgate_4b_s50_lr5e-5_pgdint8_mi32.launch.log
4B S50 d=0.01 lr=5e-5 B1frozen(ro=4096)	62.54	85.40	48.99	70.06	25.00	83.24	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_080351	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260903_065320	8.1 GB	ablation_B1_frozen_pool_4b/s50_ro4096.log
4B S50 rule=schedule	62.09	87.20	46.46	69.32	24.25	83.24	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_142204	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260903_131206	8.1 GB	ablation_A2_schedule_4b/s50_A2sched_matched.log
4B S50 d=0.01 lr=5e-5	62.06	86.80	40.91	72.64	26.12	83.85	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_060006	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260901_044830	8.1 GB	queue_gmp_pgd_grow_to_target_4b/s50_klb0.01.log
4B S50 d=999 lr=5e-5	62.04	85.00	44.95	72.27	23.88	84.08	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260826_230731	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260826_215416		queue_gmp_pgd_klgate_4b/s50_u_duringgrowth.log
4B S50 d=99999 lr=5e-5 B1frozen(ro=4096)	62.02	85.60	44.95	73.01	22.39	84.15	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260904_202248	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260904_191048	8.1 GB	ablation_A3B1_nogate_frozen_4b/s50_nogate_frozen.log
4B S50 d=0.02 lr=5e-5	61.39	85.80	42.93	72.27	22.39	83.55	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_055908	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260901_044653	8.1 GB	queue_gmp_pgd_grow_to_target_4b/s50_klb0.02.log
4B S50 d=0.02 lr=5e-5	61.25	87.20	38.38	71.90	25.00	83.78	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260824_084326	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260824_072709	8.1 GB	gmp_pgd_klgate_4b_s50_lr5e-5_mi32_opd512.launch.log
4B S50 d=999 lr=5e-5	60.59	86.00	39.39	70.06	23.88	83.62	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260827_055110	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260827_044056		queue_gmp_pgd_klgate_4b/s50_u_posttargetonly.log
4B S50 d=99999 lr=5e-5	60.51	83.00	44.95	67.84	23.13	83.62	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_072959	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260903_061708	8.1 GB	ablation_A3_nogate_4b/s50_nogate.log
