label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
8B S50 d=0.01 lr=5e-5	s50_delta0.01	DONE	8B	64.68	86.20	51.01	77.08	24.63	84.46	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260907_194808	delta_resweep_opkdfix/s50_delta0.01.log
8B S50 d=0.03 lr=5e-5	s50_delta0.03	DONE	8B	64.18	86.80	48.48	76.52	27.24	81.88	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260906_043252	delta_sweep_8b_s50_s60/s50_delta0.03.log
8B S50 d=0.02 lr=5e-5	s50_delta0.02	DONE	8B	63.91	85.20	50.00	76.16	24.63	83.55	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260907_205011	delta_resweep_opkdfix/s50_delta0.02.log
8B S50 d=0.005 lr=5e-5	s50_delta0.005_fsdp2	DONE	8B	63.83	87.00	47.47	74.49	27.24	82.94	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260910_035856	delta005_fsdp2/s50_delta0.005_fsdp2.log
8B S50 d=0.01 lr=5e-5	s50_klb0.01	DONE	8B	63.57	86.60	46.97	75.23	26.12	82.94	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260901_153749	queue_gmp_pgd_grow_to_target_8b/s50_klb0.01.log
8B S50 d=0.03 lr=5e-5	s50_delta0.03_opkdfix	DONE	8B	63.56	85.40	46.46	76.34	25.37	84.23	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260906_234037	opkdfix_8b_s50_s60_delta0.03/s50_delta0.03_opkdfix.log
4B S50 lr=5e-5	gmp_pgd_klgate_4b_s50_lr5e-5_pgdint8_mi32.launch	DONE	4B	63.13	86.80	46.97	73.01	24.63	84.23	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260824_193511	gmp_pgd_klgate_4b_s50_lr5e-5_pgdint8_mi32.launch.log
8B S50 lr=5e-5	gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_v2.launch	DONE	8B	63.06	85.60	44.95	76.52	25.00	83.24	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260825_062313	gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_v2.launch.log
8B S50 d=999 lr=5e-5	s50_u_duringgrowth	DONE	8B	62.70	83.80	47.98	75.05	24.63	82.03	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260827_133259	queue_gmp_pgd_klgate_8b/s50_u_duringgrowth.log
4B S50 d=0.01 lr=5e-5 B1frozen(ro=4096)	s50_ro4096	DONE	4B	62.54	85.40	48.99	70.06	25.00	83.24	5	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260903_065320	ablation_B1_frozen_pool_4b/s50_ro4096.log
