model	type	sp	lr	tok	ro	fsdp	avg	math500	gpqa	ifeval	lcb	gsm8k	created	id	proj	name
1.7B	2:4	0.5	0.0001	512	1	False	39.48	60.40	27.27	39.19	5.97	64.59	2026-08-16T19:51:22Z	w6dhmvja	reasoning_qwen3_1.7b_nostrip8192	gmp_s50pct_onpol_lam0.33_tok512_lr0.0001_2048steps_2to4_alpssft_n24_lr1e-4_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.5	0.0001	512	1	False	48.35	72.80	29.80	55.27	11.19	72.71	2026-08-11T00:39:14Z	16gmeadr	reasoning_qwen3_1.7b_nostrip8192	gmp_s50pct_onpol_lam0.33_tok512_lr0.0001_2048steps_alpssft_s50pct_lr1e-4_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.5	5e-05	512	1	False	47.69	75.00	26.77	53.23	11.19	72.25	2026-08-11T00:39:14Z	afm41ohr	reasoning_qwen3_1.7b_nostrip8192	gmp_s50pct_onpol_lam0.33_tok512_lr5e-05_2048steps_alpssft_s50pct_lr5e-5_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.5	5e-06	512	1	False	47.56	72.60	29.80	51.39	8.58	75.44	2026-08-11T00:56:03Z	5o6f02kl	reasoning_qwen3_1.7b_nostrip8192	gmp_s50pct_onpol_lam0.33_tok512_lr5e-06_2048steps_alpssft_s50pct_lr5e-6_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.5	1e-05	512	1	False	47.44	75.60	26.77	51.20	9.70	73.92	2026-08-11T00:56:02Z	nh0n21sd	reasoning_qwen3_1.7b_nostrip8192	gmp_s50pct_onpol_lam0.33_tok512_lr1e-05_2048steps_alpssft_s50pct_lr1e-5_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.6	0.0001	512	1	False	41.44	61.80	29.29	40.67	5.97	69.45	2026-08-11T02:50:35Z	53uwdeop	reasoning_qwen3_1.7b_nostrip8192	gmp_s60pct_onpol_lam0.33_tok512_lr0.0001_2048steps_alpssft_s60pct_lr1e-4_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.6	5e-05	512	1	False	39.13	58.80	29.29	38.26	4.10	65.20	2026-08-11T02:51:06Z	epluy5bh	reasoning_qwen3_1.7b_nostrip8192	gmp_s60pct_onpol_lam0.33_tok512_lr5e-05_2048steps_alpssft_s60pct_lr5e-5_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.6	1e-05	512	1	False	35.13	58.80	24.24	31.61	1.12	59.89	2026-08-11T02:54:36Z	d50zybqe	reasoning_qwen3_1.7b_nostrip8192	gmp_s60pct_onpol_lam0.33_tok512_lr1e-05_2048steps_alpssft_s60pct_lr1e-5_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.6	5e-06	512	1	False	28.98	47.00	23.23	24.95	0.00	49.73	2026-08-11T03:04:37Z	oxu7xxue	reasoning_qwen3_1.7b_nostrip8192	gmp_s60pct_onpol_lam0.33_tok512_lr5e-06_2048steps_alpssft_s60pct_lr5e-6_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.7	5e-05	512	1	False	21.91	28.80	21.72	18.85	0.00	40.18	2026-08-28T06:00:45Z	chbqjyok	reasoning_qwen3_1.7b_nostrip8192	gmp_s70pct_onpol_lam0.5_tok512_lr5e-05_2048steps_alpssft_s70pct_lr5e-5_kdopdonly_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.7	5e-05	512	1	False	21.76	26.60	26.77	19.04	0.00	36.39	2026-08-11T04:01:11Z	zexfluvb	reasoning_qwen3_1.7b_nostrip8192	gmp_s70pct_onpol_lam0.33_tok512_lr5e-05_2048steps_alpssft_s70pct_lr5e-5_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.7	0.0001	512	1	False	21.28	23.00	20.71	21.63	0.37	40.71	2026-08-11T03:36:38Z	sy3gdp7h	reasoning_qwen3_1.7b_nostrip8192	gmp_s70pct_onpol_lam0.33_tok512_lr0.0001_2048steps_alpssft_s70pct_lr1e-4_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.7	1e-05	512	1	False	15.20	11.20	21.72	17.38	0.00	25.70	2026-08-11T04:04:11Z	tk3yg2m1	reasoning_qwen3_1.7b_nostrip8192	gmp_s70pct_onpol_lam0.33_tok512_lr1e-05_2048steps_alpssft_s70pct_lr1e-5_ot3_fineweb_40k_qwen3_nostrip_8192
1.7B	unstructured	0.7	5e-06	512	1	False	14.41	15.80	19.19	14.97	0.00	22.06	2026-08-11T04:20:41Z	020zlwm6	reasoning_qwen3_1.7b_nostrip8192	gmp_s70pct_onpol_lam0.33_tok512_lr5e-06_2048steps_alpssft_s70pct_lr5e-6_ot3_fineweb_40k_qwen3_nostrip_8192
